timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
3.37,-2.58,0.70,9.62,-0.00,-0.05,-0.22,22.39,-9.38,-44.72
3.53,-3.05,1.10,9.43,0.19,0.06,-0.68,22.07,-10.57,-44.18
3.69,-2.54,0.68,9.89,0.25,0.16,-0.83,21.95,-11.58,-45.09
3.86,-2.58,0.41,9.72,0.28,0.29,-0.76,23.90,-12.39,-45.43
4.02,-2.73,0.73,9.27,0.07,0.28,-0.58,26.03,-12.53,-45.66
4.18,-3.65,0.34,9.08,0.10,0.21,-0.48,27.78,-12.51,-46.13
4.34,-4.94,0.07,9.06,0.00,0.25,-0.59,29.45,-12.10,-45.97
4.51,-4.75,-0.29,9.03,-0.11,0.41,-0.63,32.36,-10.90,-45.32
4.68,-4.72,-0.72,8.04,-0.08,0.44,-0.45,35.49,-8.94,-45.02
4.84,-5.88,-1.42,7.76,-0.09,0.34,-0.38,38.29,-6.75,-43.82
5.00,-6.44,-1.97,7.45,-0.16,0.38,-0.35,40.69,-4.36,-42.75
5.17,-6.95,-2.55,6.83,-0.19,0.51,-0.30,43.26,-1.99,-40.25
5.33,-6.88,-2.75,6.03,-0.11,0.48,-0.20,45.59,-0.75,-38.23
5.49,-7.41,-3.02,5.49,-0.19,0.30,-0.22,48.36,1.49,-36.01
5.66,-8.53,-3.71,5.14,-0.13,0.34,-0.36,48.82,4.30,-32.58
5.82,-7.82,-4.34,4.72,-0.27,0.63,-0.34,50.16,8.07,-29.70
5.99,-7.66,-4.95,3.55,-0.36,0.57,-0.34,51.48,9.78,-24.17
6.15,-7.71,-5.53,2.30,-0.47,0.49,-0.46,51.58,12.95,-18.21
6.31,-8.15,-6.04,1.02,-0.33,0.22,-0.11,51.15,15.97,-12.67
6.47,-7.09,-6.11,0.61,-0.62,0.09,-0.18,50.80,16.95,-10.65
6.64,-6.98,-6.49,-0.52,-0.87,0.36,-0.24,48.76,17.80,-3.46
