timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
3.49,0.01,1.01,9.84,0.01,-0.05,-0.04,31.98,-27.95,-45.81
3.65,0.15,1.28,9.48,-0.04,-0.05,-0.06,32.14,-27.58,-47.81
3.82,-0.13,1.09,10.10,-0.02,-0.03,-0.11,32.94,-27.71,-46.42
3.98,0.35,1.09,9.91,-0.06,-0.18,-0.18,31.99,-27.17,-46.00
4.14,0.28,0.90,9.61,0.13,0.01,-0.22,32.43,-27.07,-46.99
4.31,0.04,1.02,9.97,-0.13,0.09,-0.55,32.90,-26.19,-46.27
4.47,-0.53,0.88,10.06,-0.09,-0.11,-0.31,33.21,-24.60,-46.90
4.64,-0.38,0.67,9.92,-0.21,0.34,0.02,35.34,-23.98,-45.44
4.81,-0.65,1.00,9.27,0.07,0.10,0.23,35.93,-24.20,-46.71
4.97,-0.73,0.88,9.22,-0.36,0.51,0.01,37.40,-22.81,-45.56
5.13,-1.28,0.78,9.24,0.09,0.11,0.07,39.18,-25.21,-43.34
5.30,-1.88,0.76,9.43,0.10,0.18,-0.33,40.53,-25.08,-42.97
5.46,-2.01,0.05,9.63,0.55,-0.53,0.15,39.48,-22.96,-44.18
5.62,-0.60,1.22,9.58,-0.35,-0.31,0.07,36.54,-25.45,-44.50
5.79,-0.74,1.00,10.20,0.06,0.03,-0.03,36.10,-25.53,-45.10
5.96,-0.44,1.01,9.98,0.10,-0.26,0.19,35.53,-25.84,-46.19
6.12,-0.12,0.78,9.35,-0.05,-0.22,0.12,33.41,-25.52,-46.52
6.28,-0.08,0.58,9.47,-0.17,-0.26,-0.21,32.20,-24.00,-46.29
6.44,-0.29,0.63,9.98,0.19,0.01,0.11,32.87,-22.61,-45.47
6.61,0.17,1.70,10.02,-0.03,-0.17,-0.07,32.67,-22.62,-44.87
6.77,0.39,0.12,10.08,0.11,-0.19,0.03,31.86,-22.77,-43.88
6.94,0.37,0.16,9.92,0.01,-0.16,-0.01,31.91,-21.59,-43.85
7.10,0.58,0.46,9.72,-0.18,0.01,0.10,31.29,-21.34,-42.78
